Time,Current (A),Voltage (V),Water Flow Rate (lpm),Air Flow Rate (lpm)
0:00:00,40.97627008,222.3654885,8.154283509,34.76761088
1:00:00,44.30378733,232.7984204,8.637107709,31.0484552
2:00:00,42.05526752,222.8670657,10.7019677,32.39263579
3:00:00,40.89766366,238.8933783,9.386015135,25.39187792
4:00:00,38.47309599,230.4369664,14.88373838,27.82806963
5:00:00,42.91788226,228.2932388,6.020448107,26.20196561
6:00:00,38.75174423,225.2911122,7.088767561,27.96140198
7:00:00,47.83546002,235.4846738,6.613095179,26.18727719
8:00:00,49.27325521,229.1230066,11.53108325,28.17983179
9:00:00,37.66883038,231.368679,7.532916025,29.14262995
10:00:00,45.83450076,220.375796,9.663107729,25.64147496
11:00:00,40.5778984,232.3527099,7.44425592,31.92472119
12:00:00,41.36089122,232.2419145,6.589695836,30.66601454
13:00:00,48.51193277,232.3386799,6.103751412,27.65389491
14:00:00,31.42072116,238.8749616,11.56329589,30.23248053
15:00:00,31.74258599,233.636406,6.381829513,25.93940511
16:00:00,30.40436795,227.190158,6.965823617,30.75946496
17:00:00,46.65239691,228.7406391,8.687251707,34.29296198
18:00:00,45.56313502,233.9526239,13.2099323,28.18568952
19:00:00,47.40024296,221.2045094,5.971012758,31.6741038
20:00:00,49.57236684,233.3353343,13.37944907,26.31797862
21:00:00,45.98317128,233.4127574,5.960984079,32.16327204
22:00:00,39.22958725,224.2076512,14.76459465,27.89406093
23:00:00,45.61058353,222.578526,9.686512016,26.83191362
